Variety,GB Grade,Area (hectare),County,Producer
ROYAL,S,6,Kincardine,McCain Potatoes
DESIREE,PB,2.86,Aberdeen,J S Cruickshank (Farmers) Ltd
MARIS PIPER,PB,2.9,Aberdeen,J S Cruickshank (Farmers) Ltd
MARIS PEER,PB,2.02,Aberdeen,J S Cruickshank (Farmers) Ltd
MARIS PEER,S,3.8,Aberdeen,J S Cruickshank (Farmers) Ltd
RUSSET BURBANK,S,10.4,Kincardine,McCain Potatoes
MARIS PEER,PB,1.66,Aberdeen,J S Cruickshank (Farmers) Ltd
MARIS PEER,PB,1.6,Aberdeen,J S Cruickshank (Farmers) Ltd
MARIS PEER,PB,0.14,Aberdeen,J S Cruickshank (Farmers) Ltd
DAISY,S,7.8,Kincardine,McCain Potatoes
DESIREE,PB,0.087,Aberdeen,J S Cruickshank (Farmers) Ltd
DAISY,S,1.5,Kincardine,McCain Potatoes
MARIS PIPER,PB,0.104,Aberdeen,J S Cruickshank (Farmers) Ltd
INNOVATOR,SE,13.9,Kincardine,McCain Potatoes
ROYAL,S,2.4,Kincardine,McCain Potatoes
PERFORMER,PB,0.7,Aberdeen,Agrico UK Ltd
PERFORMER,PB,2.3,Aberdeen,Agrico UK Ltd
ADIB,PB,0.43,Aberdeen,Cullen Allen Ltd
HERMES,E,4.2,Kincardine,J I Forbes & Partner
BALTIC ROSE,PB,0.78,Aberdeen,Cullen Allen Ltd
CULTRA,PB,0.85,Aberdeen,Cullen Allen Ltd
SORAYA,PB,0.22,Aberdeen,Cullen Allen Ltd
PAROLI,PB,0.11,Aberdeen,Cullen Allen Ltd
BALTIC ROSE,PB,0.06,Aberdeen,Cullen Allen Ltd
CULTRA,PB,0.1,Aberdeen,Cullen Allen Ltd
ADIB,PB,0.05,Aberdeen,Cullen Allen Ltd
SORAYA,PB,1.36,Aberdeen,Cullen Allen Ltd
KINGSMAN,PB,2.67,Aberdeen,Cygnet Potato Breeders Ltd
SAXON,PB,0.296,Aberdeen,Cygnet Potato Breeders Ltd
ELLAND,PB,0.086,Aberdeen,Cygnet Potato Breeders Ltd
RUSSET BURBANK,S,1.6,Kincardine,McCain Potatoes
KINGSMAN,PB,0.122,Aberdeen,Cygnet Potato Breeders Ltd
SAXON,S,1.5,Perth,Cygnet Potato Breeders Ltd
MANHATTAN,PB,0.493,Aberdeen,Cygnet Potato Breeders Ltd
SKYWALKER,S,1.5,Perth,Cygnet Potato Breeders Ltd
SAXON,PB,1.04,Aberdeen,Cygnet Potato Breeders Ltd
MANHATTAN,S,2.8,Aberdeen,Cygnet Potato Breeders Ltd
ROCKET,S,1.7,Perth,Cygnet Potato Breeders Ltd
CARA,PB,0.27,Aberdeen,Grampian Growers
KINGSMAN,S,4.5,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,S,4.8,Perth,Cygnet Potato Breeders Ltd
HERMES,PB,0.28,Aberdeen,Grampian Growers
MARFONA,PB,0.2,Aberdeen,Greenvale AP
CABARET,S,3.3,Perth,Cygnet Potato Breeders Ltd
ESTIMA,PB,0.24,Aberdeen,Greenvale AP
CASABLANCA,S,6,Perth,Cygnet Potato Breeders Ltd
VENEZIA,PB,0.77,Aberdeen,Europlant for Greenvale AP
VENEZIA,PB,5,Aberdeen,Europlant for Greenvale AP
ESTIMA,PB,1.51,Aberdeen,Greenvale AP
MARFONA,PB,0.56,Aberdeen,Greenvale AP
MARFONA,PB,0.032,Aberdeen,Greenvale AP
VENEZIA,PB,0.045,Aberdeen,Europlant for Greenvale AP
LADY ROSETTA,PB,0.94,Aberdeen,Meijer Potato UK
LADY CLAIRE,PB,1.23,Aberdeen,Meijer Potato UK
LADY ROSETTA,PB,0.191,Aberdeen,Meijer Potato UK
LADY CLAIRE,PB,0.145,Aberdeen,Meijer Potato UK
LADY CLAIRE,PB,0.095,Aberdeen,Meijer Potato UK
MARIS PIPER,E,3,Angus,Firm of J & C Millar
KING EDWARD,S,7,Perth,Robert Morris & Son Ltd
MARIS PIPER,SE,7.8,Perth,Robert Morris & Son Ltd
KERR'S PINK,E,5,Perth,Robert Morris & Son Ltd
GOLDEN WONDER,E,2.5,Perth,Robert Morris & Son Ltd
VR 808,PB,0.15,Ross,Stet Potato Ltd for Saltire Seed Ltd
VR 808,PB,0.7,Ross,Stet Potato Ltd for Saltire Seed Ltd
MARIS PIPER,S,2,Perth,Robert Morris & Son Ltd
BROOKE,PB,0.35,Ross,Saltire Seed Ltd
KERR'S PINK,E,1.7,Perth,Robert Morris & Son Ltd
KING EDWARD,S,2.6,Perth,Robert Morris & Son Ltd
GOLDEN WONDER,S,0.9,Perth,Robert Morris & Son Ltd
OPAL,PB,0.175,Ross,Solana Seeds United Kingdom Ltd
BRITISH QUEEN,SE,3.4,Perth,Robert Morris & Son Ltd
KING EDWARD,S,6.8,Perth,Robert Morris & Son Ltd
CARA,SE,5.2,Perth,Robert Morris & Son Ltd
OPAL,PB,0.2,Ross,Solana Seeds United Kingdom Ltd
WILJA,SE,3.8,Perth,Robert Morris & Son Ltd
MARIS PIPER,SE,3.8,Perth,Robert Morris & Son Ltd
MARIS PIPER,SE,2.2,Angus,Robert Morris & Son Ltd
KING EDWARD,E,3,Angus,Robert Morris & Son Ltd
CARA,E,3.6,Perth,Robert Morris & Son Ltd
CARA,SE,3.6,Perth,Robert Morris & Son Ltd
CARA,SE,1,Perth,Robert Morris & Son Ltd
CARA,S,1.8,Perth,Robert Morris & Son Ltd
CARA,SE,5.6,Perth,Robert Morris & Son Ltd
CARA,E,3.8,Perth,Robert Morris & Son Ltd
SKYWALKER,S,0.4,Perth,Cygnet Potato Breeders Ltd
FRANCIS,S,0.2,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,S,0.9,Perth,Cygnet Potato Breeders Ltd
OLYMPUS,S,1.8,Perth,Cygnet Potato Breeders Ltd
INNOVATOR,S,3.2,Aberdeen,McCain Potatoes
INNOVATOR,S,3.4,Aberdeen,McCain Potatoes
INNOVATOR,S,1.4,Aberdeen,McCain Potatoes
ROCKET,S,0.8,Perth,Cygnet Potato Breeders Ltd
ALANIS,S,0.9,Perth,Cygnet Potato Breeders Ltd
HERMES,S,0.6,Perth,Cygnet Potato Breeders Ltd
ROCKET,S,0.2,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,S,4.2,Perth,Cygnet Potato Breeders Ltd
ELLAND,S,1.7,Perth,Cygnet Potato Breeders Ltd
BAMBINO,S,0.2,Perth,Cygnet Potato Breeders Ltd
HERMES,S,0.3,Perth,Cygnet Potato Breeders Ltd
ROCKET,S,0.3,Perth,Cygnet Potato Breeders Ltd
ROYAL,S,4.9,Aberdeen,McCain Potatoes
ROYAL,S,0.8,Aberdeen,McCain Potatoes
OLYMPUS,S,1.2,Perth,Cygnet Potato Breeders Ltd
HERMES,S,2.4,Perth,Cygnet Potato Breeders Ltd
ROYAL,S,1.8,Aberdeen,McCain Potatoes
KINGSMAN,S,11.5,Perth,Cygnet Potato Breeders Ltd
KINGSMAN,S,4,Perth,Cygnet Potato Breeders Ltd
ROCKET,S,3.5,Fife,Cygnet Potato Breeders Ltd
MARIS PIPER,S,2.3,Aberdeen,J S Cruickshank (Farmers) Ltd
ELLAND,S,2.2,Fife,Cygnet Potato Breeders Ltd
ELLAND,S,4,Fife,Cygnet Potato Breeders Ltd
WILJA,PB,0.11,Aberdeen,S E Wilja Growers
LADY ROSETTA,PB,0.42,Aberdeen,Strathmore Potatoes Ltd
MARFONA,PB,0.31,Aberdeen,Strathmore Potatoes Ltd
LADY ROSETTA,PB,0.016,Aberdeen,Strathmore Potatoes Ltd
MARFONA,PB,0.36,Aberdeen,Wolds Produce Ltd
ESTIMA,PB,0.17,Aberdeen,Wolds Produce Ltd
ESTIMA,S,2,Aberdeen,Wolds Produce Ltd
MARKIES,SE,4.8,Angus,Agrico UK Ltd
MARKIES,SE,3.8,Angus,Agrico UK Ltd
PICASSO,S,2.8,Angus,Agrico UK Ltd
MARFONA,PB,1.83,Aberdeen,Wolds Produce Ltd
ESTIMA,S,0.6,Aberdeen,Wolds Produce Ltd
PICASSO,S,3.8,Angus,Agrico UK Ltd
ESTIMA,PB,0.033,Aberdeen,Wolds Produce Ltd
MARFONA,PB,0.033,Aberdeen,Wolds Produce Ltd
BROOKE,PB,4.81,Aberdeen,Saltire Seed Ltd
BROOKE,PB,0.81,Aberdeen,Saltire Seed Ltd
BROOKE,PB,0.148,Aberdeen,Saltire Seed Ltd
AMORA,SE,3.3,Aberdeen,Mercian Limited
AMORA,PB,0.25,Aberdeen,Mercian Limited
WILJA,S,2.1,Aberdeen,S E Wilja Growers
AMORA,SE,0.9,Aberdeen,Mercian Limited
AMORA,PB,0.136,Aberdeen,Mercian Limited
ROYAL,PB,0.66,Aberdeen,McCain Potatoes
PREMIERE,PB,0.98,Aberdeen,McCain Potatoes
RUSSET BURBANK,S,3.8,Aberdeen,McCain Potatoes
PENTLAND DELL,S,2,Aberdeen,McCain Potatoes
ROYAL,S,3,Aberdeen,McCain Potatoes
KING RUSSET,S,3.2,Aberdeen,McCain Potatoes
RUSSET BURBANK,PB,0.73,Aberdeen,McCain Potatoes
PENTLAND DELL,S,0.3,Aberdeen,McCain Potatoes
RUSSET BURBANK,S,2.1,Aberdeen,McCain Potatoes
KING RUSSET,PB,1.04,Aberdeen,McCain Potatoes
RUSSET BURBANK,S,3.7,Aberdeen,McCain Potatoes
KING RUSSET,S,11,Aberdeen,McCain Potatoes
ROYAL,S,5.3,Aberdeen,McCain Potatoes
PREMIERE,S,5.5,Aberdeen,McCain Potatoes
KING RUSSET,S,2.9,Aberdeen,McCain Potatoes
KING RUSSET,PB,0.106,Aberdeen,McCain Potatoes
ATLANTIC,S,3.5,Aberdeen,Grampian Growers
RUSSET BURBANK,PB,0.079,Aberdeen,McCain Potatoes
CALEDONIAN PEARL,S,0.1,Perth,Caledonia Potatoes Ltd
PREMIERE,PB,0.191,Aberdeen,McCain Potatoes
CALEDONIAN PEARL,S,0.1,Perth,Caledonia Potatoes Ltd
PENTLAND DELL,PB,0.041,Aberdeen,McCain Potatoes
CALEDONIAN PHOENIX,S,0.1,Perth,Caledonia Potatoes Ltd
MORENE,PB,0.217,Aberdeen,McCain Potatoes
HERMES,S,0.5,Perth,FIMM Potatoes Co Ltd
KESTREL,S,0.3,Perth,Caledonia Potatoes Ltd
ROYAL,PB,0.124,Aberdeen,McCain Potatoes
MARKIES,S,0.5,Perth,Agrico UK Ltd
NADINE,S,0.4,Perth,Caledonia Potatoes Ltd
DESIREE,S,2.3,Aberdeen,EJM Potatoes Limited
OSPREY,S,0.3,Perth,Caledonia Potatoes Ltd
OSPREY,S,0.4,Perth,Caledonia Potatoes Ltd
MORENE,S,1.9,Aberdeen,McCain Potatoes
VALOR,S,0.3,Perth,Caledonia Potatoes Ltd
DESIREE,S,5.5,Aberdeen,EJM Potatoes Limited
DESIREE,SE,5.5,Aberdeen,EJM Potatoes Limited
SWIFT,S,0.4,Perth,Caledonia Potatoes Ltd
ATLANTIC,S,1.2,Aberdeen,Grampian Growers
OSPREY,S,1,Perth,Caledonia Potatoes Ltd
MARKIES,S,1,Aberdeen,Agrico UK Ltd
MARKIES,S,5,Aberdeen,Agrico UK Ltd
ATLANTIC,S,1.8,Aberdeen,Grampian Growers
BABYLON,S,3.6,Aberdeen,Agrico UK Ltd
ATLANTIC,S,1.5,Aberdeen,Grampian Growers
PICASSO,S,1.8,Aberdeen,Agrico UK Ltd
PICASSO,S,1.7,Aberdeen,Agrico UK Ltd
MANITOU,S,0.4,Aberdeen,Agrico UK Ltd
PICASSO,S,0.4,Aberdeen,Agrico UK Ltd
ARSENAL,S,0.4,Aberdeen,Agrico UK Ltd
BABYLON,S,0.5,Aberdeen,Agrico UK Ltd
ARSENAL,S,4,Aberdeen,Agrico UK Ltd
BURREN,SE,4.5,Aberdeen,IPM Potato Group Ltd
ROOSTER,S,0.8,Aberdeen,IPM Potato Group Ltd
ROOSTER,SE,4.2,Aberdeen,IPM Potato Group Ltd
SLANEY,S,1,Aberdeen,IPM Potato Group Ltd
SLANEY,SE,4.5,Aberdeen,IPM Potato Group Ltd
ELECTRA,S,0.9,Aberdeen,IPM Potato Group Ltd
ELECTRA,E,6.1,Aberdeen,IPM Potato Group Ltd
JACKY,PB,0.046,Aberdeen,Agrico UK Ltd
JACKY,PB,0.25,Aberdeen,Agrico UK Ltd
CULTRA,PB,0.022,Aberdeen,Cullen Allen Ltd
PAROLI,PB,0.025,Aberdeen,Cullen Allen Ltd
SORAYA,PB,0.035,Aberdeen,Cullen Allen Ltd
LADY JO,PB,0.05,Aberdeen,Meijer Potato UK
MARKIES,PB,0.003,Perth,Agrico UK Ltd
PREMIERE,PB,0.004,Perth,Agrico UK Ltd
MARKIES,S,0.1,Perth,Agrico UK Ltd
PREMIERE,S,0.2,Perth,Agrico UK Ltd
BUTE,PB,0.017,Perth,Caledonia Potatoes Ltd
CALEDONIAN PEARL,PB,0.007,Perth,Caledonia Potatoes Ltd
CALEDONIAN PHOENIX,PB,0.017,Perth,Caledonia Potatoes Ltd
CALEDONIAN ROSE,PB,0.011,Perth,Caledonia Potatoes Ltd
HARMONY,PB,0.032,Perth,Caledonia Potatoes Ltd
KESTREL,PB,0.021,Perth,Caledonia Potatoes Ltd
MARVEL,PB,0.009,Perth,Caledonia Potatoes Ltd
MARVEL,PB,0.004,Perth,Caledonia Potatoes Ltd
OSPREY,PB,0.097,Perth,Caledonia Potatoes Ltd
OSPREY,PB,0.029,Perth,Caledonia Potatoes Ltd
SWIFT,PB,0.008,Perth,Caledonia Potatoes Ltd
VALOR,PB,0.013,Perth,Caledonia Potatoes Ltd
BUTE,PB,0.04,Perth,Caledonia Potatoes Ltd
CALEDONIAN PEARL,PB,0.05,Perth,Caledonia Potatoes Ltd
CALEDONIAN PHOENIX,PB,0.04,Perth,Caledonia Potatoes Ltd
HARMONY,PB,0.13,Perth,Caledonia Potatoes Ltd
KESTREL,S,0.1,Perth,Caledonia Potatoes Ltd
MARVEL,S,0.1,Perth,Caledonia Potatoes Ltd
MARVEL,S,0.6,Perth,Caledonia Potatoes Ltd
NADINE,S,0.1,Perth,Caledonia Potatoes Ltd
OSPREY,PB,0.09,Perth,Caledonia Potatoes Ltd
SWIFT,PB,0.11,Perth,Caledonia Potatoes Ltd
VALOR,PB,0.12,Perth,Caledonia Potatoes Ltd
HERMES,PB,0.24,Perth,FIMM Potatoes Co Ltd
MARIS PIPER,S,0.1,Perth,FIMM Potatoes Co Ltd
AMORA,PB,0.097,Perth,Mercian Limited
DAISY,PB,0.203,Perth,McCain Potatoes
PREMIERE,PB,0.363,Perth,McCain Potatoes
DAISY,PB,0.06,Perth,McCain Potatoes
PREMIERE,S,0.1,Perth,McCain Potatoes
MANHATTAN,SE,8.8,Angus,Cygnet Potato Breeders Ltd
MANHATTAN,S,0.8,Angus,Cygnet Potato Breeders Ltd
MANHATTAN,S,0.8,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,0.5,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,0.2,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,SE,6.2,Angus,Cygnet Potato Breeders Ltd
HERMES,S,1.2,Angus,Cygnet PEP Ltd
HERMES,S,0.3,Perth,Cygnet Potato Breeders Ltd
CARA,E,4.9,Perth,Bennett Seed Exports Ltd
TAURUS,PB,0.34,Ross,HZPC UK Limited
HERACLEA,PB,0.15,Ross,HZPC UK Limited
HERACLEA,PB,0.04,Ross,HZPC UK Limited
CHALLENGER,PB,0.1,Ross,HZPC UK Limited
CHALLENGER,PB,0.175,Ross,HZPC UK Limited
BANBA,SE,7.2,Fife,IPM Potato Group Ltd
BURREN,S,0.9,Fife,IPM Potato Group Ltd
COMMANDO,S,1.7,Fife,IPM Potato Group Ltd
NECTAR,S,1,Fife,IPM Potato Group Ltd
BANBA,S,4,Fife,IPM Potato Group Ltd
HERMES,S,1,Fife,IPM Potato Group Ltd
HERMES,PB,0.035,Ross,Saltire Seed Ltd
PIROL,PB,0.035,Ross,Saltire Seed Ltd
AMANDA,PB,0.07,Ross,Solana Seeds United Kingdom Ltd
SH C 909,PB,0.035,Ross,Stet Potato Ltd for Saltire Seed Ltd
SHELFORD,PB,0.13,Ross,Saltire Seed Ltd
HERMES,S,5,Aberdeen,T Smith & Sons
HERMES,S,3.2,Aberdeen,T Smith & Sons
HERMES,SE,0.8,Aberdeen,T Smith & Sons
DESIREE,E,1,Aberdeen,T Smith & Sons
DESIREE,E,2.3,Aberdeen,T Smith & Sons
DESIREE,E,2.4,Aberdeen,T Smith & Sons
DESIREE,E,1.9,Aberdeen,T Smith & Sons
BARNA,S,0.9,Kincardine,IPM Potato Group Ltd
BARNA,SE,3,Kincardine,IPM Potato Group Ltd
BARNA,SE,2.8,Kincardine,IPM Potato Group Ltd
CARA,E,3.1,Angus,Strathmore Potatoes Ltd
PICASSO,S,2.9,Aberdeen,Agrico UK Ltd
ROYAL,S,3.1,Kincardine,McCain Potatoes
ROYAL,S,2.8,Kincardine,McCain Potatoes
MARKIES,S,5.8,Aberdeen,Agrico UK Ltd
MARFONA,S,4.1,Aberdeen,Agrico UK Ltd
ROOSTER,S,0.8,Angus,IPM Potato Group Ltd
ROYAL,S,2.8,Angus,McCain Potatoes
ELLAND,S,2.8,Angus,Cygnet Potato Breeders Ltd
BURREN,SE,3.1,Kincardine,IPM Potato Group Ltd
MARIS PIPER,S,2.9,Kincardine,J G Fairlie & Partners
MARIS PIPER,S,2.4,Kincardine,J G Fairlie & Partners
INNOVATOR,S,4.4,Kincardine,McCain Potatoes
INNOVATOR,S,3.9,Kincardine,McCain Potatoes
BANBA,SE,1.3,Fife,IPM Potato Group Ltd
NECTAR,SE,4.2,Fife,IPM Potato Group Ltd
BURREN,SE,6.5,Fife,IPM Potato Group Ltd
HERMES,SE,5.1,Fife,IPM Potato Group Ltd
BANBA,SE,2.4,Fife,IPM Potato Group Ltd
HERMES,SE,1.4,Fife,IPM Potato Group Ltd
NECTAR,SE,0.8,Fife,IPM Potato Group Ltd
BANBA,SE,0.8,Fife,IPM Potato Group Ltd
MARIS PIPER,S,3.2,Banff,J D Gray & Sons
MARIS PIPER,S,2.8,Banff,J D Gray & Sons
EUROSTAR,SE,2.5,Banff,Stet Potato Ltd
EUROSTAR,S,0.6,Banff,Stet Potato Ltd
ARGOS,E,2.1,Angus,Classified Crops Limited
DIVAA,SE,3.1,Angus,Classified Crops Limited
DIVAA,SE,2,Angus,Classified Crops Limited
DUKE OF YORK,S,0.7,Aberdeen,Marshall Farms
KERR'S PINK,SE,2.5,Aberdeen,Marshall Farms
MARIS PIPER,SE,1,Aberdeen,Marshall Farms
MARIS PIPER,E,3.8,Aberdeen,Marshall Farms
INNOVATOR,S,2.8,Kincardine,McCain Potatoes
TYSON,S,5.5,Angus,Stet for Greenvale AP
ROYAL,S,3.7,Kincardine,McCain Potatoes
ROYAL,S,4.1,Kincardine,McCain Potatoes
ROYAL,S,3.2,Kincardine,McCain Potatoes
ROYAL,S,5.5,Kincardine,McCain Potatoes
BANBA,S,0.8,Kincardine,IPM Potato Group Ltd
BANBA,SE,3.1,Kincardine,IPM Potato Group Ltd
BANBA,SE,3,Kincardine,IPM Potato Group Ltd
CARA,E,0.8,Kincardine,Strathmore Potatoes Ltd
CARA,S,3.2,Angus,Strathmore Potatoes Ltd
CARA,S,1.1,Angus,Strathmore Potatoes Ltd
CARA,S,1,Moray,IPM Potato Group Ltd
CARA,SE,5.5,Moray,IPM Potato Group Ltd
BURREN,SE,4,Moray,IPM Potato Group Ltd
CARA,S,1.1,Moray,A Massie & Son
CARA,SE,3.5,Moray,IPM Potato Group Ltd
ALEXANDRA,S,2.8,Moray,Albert Bartlett & Sons (Airdrie) Ltd
BURREN,SE,4,Moray,IPM Potato Group Ltd
BURREN,S,0.8,Moray,IPM Potato Group Ltd
CARA,SE,4.1,Angus,Strathmore Potatoes Ltd
DIVAA,SE,0.6,Angus,Classified Crops Limited
CAROLUS,PB,0.7,Ross,Agrico UK Ltd
ARGOS,S,0.1,Angus,Classified Crops Limited
ARSENAL,PB,2.4,Ross,Agrico UK Ltd
MARKIES,PB,1.5,Ross,Agrico UK Ltd
ARSENAL,PB,0.22,Ross,Agrico UK Ltd
DIVAA,S,0.1,Angus,Classified Crops Limited
CAROLUS,PB,0.11,Ross,Agrico UK Ltd
MARKIES,PB,0.2,Ross,Agrico UK Ltd
MERLIN,S,0.1,Angus,Classified Crops Limited
CLEO,S,0.1,Angus,Classified Crops Limited
GEORGINA,PB,0.17,Ross,Branston Ltd
LANORMA,PB,0.48,Ross,Branston Ltd
GEORGINA,PB,2.3,Ross,Branston Ltd
LANORMA,PB,0.73,Ross,Branston Ltd
LANORMA,S,1.2,Ross,Branston Ltd
LANORMA,S,1.7,Ross,Branston Ltd
GEORGINA,S,1.7,Ross,Branston Ltd
ARGOS,S,0.1,Angus,Classified Crops Limited
TAURUS,PB,1.03,Ross,HZPC UK Limited
FOXY,S,0.1,Angus,Classified Crops Limited
TAURUS,PB,0.36,Ross,HZPC UK Limited
DIVAA,S,0.1,Angus,Classified Crops Limited
INNOVATOR,PB,2.66,Ross,HZPC UK Limited
LOMOND,S,0.6,Ross,Cullen Allen Ltd
BURREN,PB,0.47,Ross,IPM Potato Group Ltd
NECTAR,PB,0.66,Ross,IPM Potato Group Ltd
ROOSTER,PB,0.44,Ross,IPM Potato Group Ltd
SLANEY,PB,0.35,Ross,IPM Potato Group Ltd
TORNADO,PB,0.16,Ross,IPM Potato Group Ltd
BURREN,PB,1.83,Ross,IPM Potato Group Ltd
NECTAR,PB,2.24,Ross,IPM Potato Group Ltd
ROOSTER,PB,2.35,Ross,IPM Potato Group Ltd
SLANEY,PB,2.11,Ross,IPM Potato Group Ltd
TORNADO,PB,1.22,Ross,IPM Potato Group Ltd
BURREN,S,6.7,Ross,IPM Potato Group Ltd
BURREN,S,2,Ross,IPM Potato Group Ltd
BURREN,S,1.2,Ross,IPM Potato Group Ltd
SLANEY,S,5.9,Ross,IPM Potato Group Ltd
SLANEY,S,4.7,Ross,IPM Potato Group Ltd
KING RUSSET,PB,0.53,Ross,McCain Potatoes
ROYAL,PB,0.46,Ross,McCain Potatoes
KING RUSSET,S,4.5,Ross,McCain Potatoes
KING RUSSET,S,0.5,Ross,McCain Potatoes
ROYAL,S,3,Ross,McCain Potatoes
CARA,S,2,Moray,A Massie & Son
CARA,S,5.8,Moray,Cygnet PEP Ltd
CARA,S,1,Moray,Cygnet PEP Ltd
KINGSMAN,S,1.4,Moray,Cygnet Potato Breeders Ltd
KINGSMAN,S,3,Moray,Cygnet Potato Breeders Ltd
KINGSMAN,S,5,Moray,Cygnet Potato Breeders Ltd
KINGSMAN,S,3,Moray,Cygnet Potato Breeders Ltd
BROOKE,PB,0.68,Ross,Saltire Seed Ltd
BROOKE,PB,0.28,Ross,Saltire Seed Ltd
MANHATTAN,S,3.5,Moray,Cygnet Potato Breeders Ltd
HERMES,PB,2.2,Ross,Saltire Seed Ltd
MANHATTAN,S,3.3,Moray,Cygnet Potato Breeders Ltd
BROOKE,S,6,Ross,Saltire Seed Ltd
SIENA,S,0.2,Ross,Mercian Limited
SAXON,S,4.5,Moray,Cygnet Potato Breeders Ltd
BROOKE,S,3.4,Ross,Saltire Seed Ltd
PIROL,S,4.2,Ross,Saltire Seed Ltd
SHELFORD,S,1,Ross,Saltire Seed Ltd
SAXON,S,1.6,Moray,Cygnet Potato Breeders Ltd
SAXON,S,3.6,Moray,Cygnet Potato Breeders Ltd
VR 808,S,0.9,Ross,Stet Potato Ltd for Saltire Seed Ltd
LANORMA,SE,4.7,Moray,Branston Ltd
VR 808,S,5.4,Ross,Stet Potato Ltd for Saltire Seed Ltd
LANORMA,S,5.8,Moray,Branston Ltd
VR 808,S,3.9,Ross,Stet Potato Ltd for Saltire Seed Ltd
SAXON,S,3.8,Moray,Cygnet Potato Breeders Ltd
VR 808,PB,1.37,Ross,Stet Potato Ltd for Saltire Seed Ltd
LANORMA,SE,1.4,Moray,Branston Ltd
DESIREE,PB,0.57,Ross,Middleton (Rosefarm)
ESTIMA,PB,0.2,Ross,Middleton (Rosefarm)
KING EDWARD,PB,0.2,Ross,Middleton (Rosefarm)
MARIS PEER,PB,0.34,Ross,Middleton (Rosefarm)
MARIS PIPER,PB,0.5,Ross,Middleton (Rosefarm)
DESIREE,PB,2.68,Ross,Middleton (Rosefarm)
DESIREE,PB,1.64,Ross,Middleton (Rosefarm)
ESTIMA,PB,1.88,Ross,Middleton (Rosefarm)
KING EDWARD,PB,2.62,Ross,Middleton (Rosefarm)
MARIS PEER,PB,2.64,Ross,Middleton (Rosefarm)
MARIS PIPER,PB,7.06,Ross,Middleton (Rosefarm)
ARSENAL,PB,0.022,Ross,Agrico UK Ltd
CAROLUS,PB,0.015,Ross,Agrico UK Ltd
MARKIES,PB,0.063,Ross,Agrico UK Ltd
RAMOS,S,5,Moray,Stet Potato Ltd
RAMOS,S,2.5,Moray,Stet Potato Ltd
RAMOS,S,0.4,Moray,Stet Potato Ltd
BURREN,PB,0.033,Ross,IPM Potato Group Ltd
MARIS PEER,S,5,Moray,A Massie & Son
MARIS PEER,S,4.5,Moray,A Massie & Son
MARIS PEER,S,1,Moray,A Massie & Son
HERMES,S,3,Moray,A Massie & Son
HERMES,S,2,Moray,A Massie & Son
HERMES,S,1,Moray,A Massie & Son
HERMES,S,1.5,Moray,A Massie & Son
SAXON,S,2,Moray,Cygnet Potato Breeders Ltd
RAMOS,S,0.6,Moray,Stet Potato Ltd
ORCHESTRA,S,1.1,Moray,Meijer Potato UK
MELODY,S,1,Moray,Meijer Potato UK
LADY CLAIRE,S,5,Moray,Meijer Potato UK
LADY CLAIRE,S,1.1,Moray,Meijer Potato UK
MARIS PEER,S,1.2,Moray,A Massie & Son
LANORMA,S,1.1,Moray,Branston Ltd
LUCERA,S,2.6,Moray,Branston Ltd
ELLAND,S,1,Moray,Cygnet Potato Breeders Ltd
ELLAND,S,3.4,Moray,Cygnet Potato Breeders Ltd
ELLAND,S,1.6,Moray,Cygnet Potato Breeders Ltd
INNOVATOR,SE,6,Perth,McCain Potatoes
INNOVATOR,S,3.8,Angus,McCain Potatoes
INNOVATOR,S,3.6,Angus,McCain Potatoes
INNOVATOR,S,2,Angus,McCain Potatoes
ROYAL,S,5,Angus,McCain Potatoes
ELLAND,S,1.4,Angus,Cygnet Potato Breeders Ltd
ROYAL,S,6,Angus,McCain Potatoes
KINGSMAN,S,3.8,Angus,Cygnet Potato Breeders Ltd
ROYAL,S,4.4,Angus,McCain Potatoes
SAXON,S,1.4,Angus,Cygnet Potato Breeders Ltd
SAXON,S,3,Angus,Cygnet Potato Breeders Ltd
SAXON,S,4,Angus,Cygnet Potato Breeders Ltd
CASABLANCA,S,2.2,Angus,Cygnet Potato Breeders Ltd
ELLAND,S,4,Angus,Cygnet Potato Breeders Ltd
ELLAND,S,4,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,4,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,4.2,Angus,Cygnet Potato Breeders Ltd
MANHATTAN,S,6,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,SE,2.2,Angus,Cygnet Potato Breeders Ltd
MANHATTAN,S,3,Angus,Cygnet Potato Breeders Ltd
SAGITTA,SE,4.1,Angus,D Y Bishop & Co Ltd
SAGITTA,SE,2.5,Angus,D Y Bishop & Co Ltd
SAGITTA,SE,3.6,Angus,D Y Bishop & Co Ltd
SAGITTA,E,3.6,Angus,D Y Bishop & Co Ltd
SAGITTA,S,0.8,Angus,D Y Bishop & Co Ltd
DESIREE,S,1,Angus,Cygnet PEP Ltd
DESIREE,S,4.2,Angus,Cygnet PEP Ltd
